run,ok,x0,y0,z0,vx0,vy0,vz0,xf,yf,zf,vxf,vyf,vzf,phi_f_deg,theta_f_deg,psi_f_deg,dist_xy,succ_pos,succ_vel,succ_eul,success,prop_main,prop_rcs
108,1,272744.019540083,0,15280.7773606621,-1672.6515081728,0,0,-1.3979688550343,-0.659511403958899,0.499061300863312,-0.00344728966358374,0.013500950470438,-0.100063604586281,-0.0343499639257014,0.00315448642217525,0.0353170577238415,1.54572708186075,1,1,1,1,6508.02773895284,11.849985201536
109,1,306188.208277223,0,15260.5233540626,-1672.6515081728,0,0,-1.29008531971513,0.444152439749387,0.499539489770331,0.00697911724220689,0.00584393197954128,-0.100073914600328,0.0371780359450329,-0.0619987266652824,0.0439161908475361,1.36440152516765,1,1,1,1,6500.97937563647,15.5919774002137
110,1,285491.985827806,0,15437.7517239948,-1672.6515081728,0,0,0.349485431731644,-0.754719610879235,0.49946188965322,5.7074774967569e-05,0.0056543354544058,-0.100071290915531,0.038580772537176,-0.0166382455158618,0.0425844822235173,0.831710140636963,1,1,1,1,6505.61341130565,11.6543389390845
111,1,281117.681513191,0,13805.3474178612,-1672.6515081728,0,0,-0.360713247193628,0.512128851338579,0.499602053209098,-0.018269569193214,-0.00199848302678429,-0.100066433475407,-0.0366411753307628,-0.0235307856085464,0.0315913155108087,0.626410414244802,1,1,1,1,6479.13828927547,12.8405731198431
112,1,274741.774818414,0,14020.1207858843,-1672.6515081728,0,0,0.27184741316333,0.200215535142589,0.499598356848445,-0.0190412034948875,0.0189287658657379,-0.100064966964462,-0.0428574377423729,-0.00754021452136901,0.0410826051968782,0.337620018002529,1,1,1,1,6481.15494279243,11.6131502522526
113,1,265148.073452103,0,13836.1167065042,-1672.6515081728,0,0,-0.769491664407177,0.431999400097066,0.499763798027365,0.0205556265835091,0.00447521253401483,-0.10007056126862,0.0397283392820641,-0.0124727789311571,0.0344770324958398,0.882462975583878,1,1,1,1,6481.80050778539,10.4907585360835
114,1,316625.663386686,0,14012.6627621702,-1672.6515081728,0,0,-4.7819462284339,0.339303322156712,0.499897647252446,-0.0180084134514739,0.0113634504478989,-0.100058182516959,0.0595331104497141,-0.00305717936788041,0.0166586984958447,4.79396876043845,1,1,1,1,6557.7121488341,16.0347557836565
115,1,314304.610529507,0,15808.4787995758,-1672.6515081728,0,0,0.709366677175993,0.71717250394436,0.499249703735872,-0.00297317150736168,-0.00243974717409665,-0.100073614840646,0.0490615413777348,-0.0947930515110276,0.0396985348073117,1.00873062960412,1,1,1,1,6498.05722881464,15.1965660066275
116,1,279241.044781818,0,13844.5104742176,-1672.6515081728,0,0,-0.111797009794247,1.30699237300314,0.499850379836723,0.00578028634635637,0.0107577852668797,-0.100078762569496,0.0444850307494859,-0.0756623106329635,0.0420374491757241,1.3117650835753,1,1,1,1,6479.10406471646,12.6655212008075
117,1,277212.089201382,0,15097.7682976548,-1672.6515081728,0,0,-0.561066691943473,0.154777109280633,0.499157213597802,0.0133894933376314,0.00486953610599673,-0.100070496972569,0.0676459880903406,0.0568464295961709,0.0504517275906502,0.582023870958624,1,1,1,1,6501.12265489114,11.9014710600759
118,1,279989.270772046,0,14467.0615349242,-1672.6515081728,0,0,0.45557972804466,1.09756751653249,0.499714970679105,-0.0161685942935372,-0.00208206323367816,-0.10007381409088,-0.0310715989404744,0.010088815492019,0.0396648402945009,1.18836330385642,1,1,1,1,6489.31268232783,12.2145050799983
119,1,275244.426283215,0,14914.7285656505,-1672.6515081728,0,0,0.36762215587821,0.557939714972122,0.499530161473311,0.0198686768256034,0.0110785721999967,-0.100067281877945,0.0191407620872285,-0.0133105346973308,0.0478204200953155,0.668163733702837,1,1,1,1,6498.45950458133,11.8891144540263
120,1,280699.228617904,0,13872.8916704566,-1672.6515081728,0,0,-0.35641259643862,1.07841701696594,0.499354732519759,-0.0151212001138639,0.0101042030311262,-0.100073394904794,-0.0807404488918168,-0.0114484595085483,0.0583077458990251,1.13578748072949,1,1,1,1,6480.12267472757,12.9847335237547
121,1,314823.560319066,0,15223.4193395397,-1672.6515081728,0,0,1.35107062429841,0.391157231759731,0.499561063202351,0.00195984096797166,0.0175555300271957,-0.100065593299997,-0.00128002206977102,0.0586086622639169,0.0419986816385038,1.40655458898687,1,1,1,1,6468.11629286294,14.7579064918678
122,1,268594.743245147,0,13992.797393793,-1672.6515081728,0,0,-1.30649208964888,1.51146841785198,0.499559961127748,0.0159908686025502,-0.0053447079528242,-0.100068131161456,0.0103361939230552,-0.0348516947055108,0.0555705105399096,1.99786344840659,1,1,1,1,6482.51050696858,11.8788172823184
123,1,299011.397260014,0,14677.3353222679,-1672.6515081728,0,0,0.823972191857621,0.846103181333196,0.499930485789391,0.019518341272033,0.0119213045066087,-0.100073303735923,-0.122050611439696,0.0191230113006212,0.0353092772064886,1.18102530303834,1,1,1,1,6507.81746400563,15.1389018450628
124,1,285924.731847554,0,15742.8281405288,-1672.6515081728,0,0,-0.156906924218252,0.256619460291443,0.499584750379947,-0.01283770583385,0.00959068985793901,-0.100073845539059,0.0832498864939148,0.0307968721935397,0.0564590276168153,0.300787849269055,1,1,1,1,6511.20083082889,12.5378362716287
125,1,273946.079820105,0,16219.4163328936,-1672.6515081728,0,0,-1.63556450449741,0.0077100350995703,0.499065790705125,-0.0206094101523766,0.0215664409347916,-0.100066297327451,0.0151438967487474,0.0128602394247788,0.0312481456646879,1.63558267691153,1,1,1,1,6527.9951186508,12.1074144942354
126,1,267270.556219566,0,13917.8162179902,-1672.6515081728,0,0,-1.67013323302833,-0.343711232601446,0.499413775311864,-0.0153682589913335,0.00468259681596493,-0.100075667132595,-0.0754904188192974,-0.0308754670102899,0.029565083586459,1.7051341376801,1,1,1,1,6481.83350191071,11.5863776058119
127,1,296399.15833006,0,13955.0246391983,-1672.6515081728,0,0,0.401988036144874,1.0463517352017,0.499373713371077,0.0205589918819444,0.00171177238669966,-0.100070426184406,0.0621635755647983,-0.0109081909196484,0.0206237200047446,1.12091317012658,1,1,1,1,6488.3369296828,15.4436981276188
128,1,274888.317309702,0,15787.3760572221,-1672.6515081728,0,0,-0.58667773466868,2.11174081319153,0.499595955400811,0.00496890669130593,0.020204222907275,-0.100068144689155,-0.0199997170163384,0.0409970703939952,0.0581697232143365,2.19172079117182,1,1,1,1,6517.44878096375,13.7158327150209
129,1,280306.359557672,0,13882.4659869959,-1672.6515081728,0,0,-0.864858040129645,1.11457474902521,0.499837865981182,0.0047228712716183,0.00343183466655534,-0.100067235316316,0.0314656210858632,-0.0680911972569595,0.063662986785372,1.41076443843098,1,1,1,1,6479.8775687589,12.1650786558
130,1,306658.511058218,0,15660.1096096382,-1672.6515081728,0,0,0.350900750624188,1.06533789008908,0.499182321973661,-0.0166477930871142,0.00227942520936574,-0.100059010477211,0.0845698914549345,0.0444087200268897,-0.0303302732817549,1.1216399408224,1,1,1,1,6529.79483377758,15.0709405117902
131,1,300675.79519592,0,14044.7931504043,-1672.6515081728,0,0,0.326865823763068,0.995491494866545,0.499133756215061,-0.0164197008650724,0.0161389849522807,-0.100072979192497,0.0367797235291463,0.0354790322161626,0.00645409702123212,1.04778078961963,1,1,1,1,6440.60274862256,17.1489097624593
