run,ok,x0,y0,z0,vx0,vy0,vz0,xf,yf,zf,vxf,vyf,vzf,phi_f_deg,theta_f_deg,psi_f_deg,dist_xy,succ_pos,succ_vel,succ_eul,success,prop_main,prop_rcs
115,1,314304.610529507,0,15808.4787995758,-1672.6515081728,0,0,-3.16572741401381,-2.66949024018026,0.499502920603563,-0.0262272925053183,-0.0343635998767907,-0.100072339913016,0.00324776316970743,-0.207406676041273,0.0435226729917359,4.14101535885297,1,1,1,1,6528.20525675655,36.7279520479905
116,1,279241.044781818,0,13844.5104742176,-1672.6515081728,0,0,-3.1744299537872,-2.46117695057687,0.499732159280317,-0.0556623768190638,-0.0343689931969241,-0.100066715316925,-0.00288900712388918,-0.189108501834807,0.0464872576769484,4.01676455789386,1,1,1,1,6481.1164045186,33.8138524546342
117,1,277212.089201382,0,15097.7682976548,-1672.6515081728,0,0,-3.56577988842914,-2.47612594946693,0.499096312512164,-0.0458919481681371,-0.0341280082765724,-0.100065655924939,-0.000944102855803555,-0.13347451360529,-0.0466562447354911,4.34119637085783,1,1,1,1,6502.87465310528,33.0642183542937
118,1,279989.270772046,0,14467.0615349242,-1672.6515081728,0,0,-3.80711481169636,-2.47064885000338,0.499058776688671,-0.0271433185304364,-0.0345240537199065,-0.100074434637175,-0.000365360462898035,-0.199805920144112,0.0208636153941468,4.53852717623909,1,1,1,1,6491.67668817339,33.3051721722603
119,1,275244.426283215,0,14914.7285656505,-1672.6515081728,0,0,-4.82808031482317,-2.49345147603419,0.499586724978688,-0.0535833495350986,-0.0344978571390572,-0.100065663135944,-0.00286746598600287,-0.196167996813719,0.0375713607339141,5.43393593905192,1,1,1,1,6500.36311685336,33.4925806973454
120,1,280699.228617904,0,13872.8916704566,-1672.6515081728,0,0,-4.16682078162069,-2.47088408541459,0.499140253798316,-0.0466182820586432,-0.0343734448458548,-0.100074184929278,-0.00593499741268741,-0.201327302517223,-0.0199976484499982,4.84434346322607,1,1,1,1,6482.37969492566,34.0815789190415
121,1,314823.560319066,0,15223.4193395397,-1672.6515081728,0,0,2.20814626682289,-3.27345989565997,0.499547944061478,-0.0254962419385456,-0.0341355823548449,-0.10007096684289,-0.00476779271045484,-0.172010460814192,0.0270732577433335,3.94860097049297,1,1,1,1,6507.4150465147,35.4943508773754
122,1,268594.743245147,0,13992.797393793,-1672.6515081728,0,0,-4.20763412306546,-2.49923109352703,0.499669582778665,-0.0497464157824466,-0.0344459779491922,-0.100071175648138,0.00225285224630499,-0.194952085060049,0.0320395884651268,4.89390855783362,1,1,1,1,6484.85174164141,32.5761324153357
123,1,299011.397260014,0,14677.3353222679,-1672.6515081728,0,0,-565.969486496121,-817.130498943827,0.358454847050131,-4.38401365016726,-6.34739346374365,-105.967840922777,0.441546603375733,2.16509106745489,0.0865332309347396,993.993818868544,0,0,1,0,6340.0111822248,36.4808199269983
124,1,285924.731847554,0,15742.8281405288,-1672.6515081728,0,0,-4.80204697885412,-2.49433420097012,0.499601143463762,-0.051552532078634,-0.0342438631732853,-0.100073745859195,-0.00182170778481417,-0.234055017079635,-0.029989258269268,5.41122521183985,1,1,1,1,6513.34564291774,33.9127053030306
125,1,273946.079820105,0,16219.4163328936,-1672.6515081728,0,0,-3.90307433875973,-2.50207412899696,0.499173335402961,-0.0475082148375356,-0.034412278906661,-0.100070894087355,-0.000925353783117241,-0.292753147429207,-0.0430757765385765,4.63620148838256,1,1,1,1,6529.17200045384,33.0395051421944
126,1,267270.556219566,0,13917.8162179902,-1672.6515081728,0,0,-3.93312839153088,-2.51700508661814,0.499457850043231,-0.0524232008608073,-0.0344222194035413,-0.100069143725266,0.00068536726709661,-0.189708729056222,-0.051568254216453,4.66956245812474,1,1,1,1,6484.03226909692,33.027148536145
127,1,296399.15833006,0,13955.0246391983,-1672.6515081728,0,0,-3.0971618360125,-2.41555831387272,0.499278429545613,-0.033205315882484,-0.0342735208062226,-0.100066774421506,-0.00199301626926374,-0.170519647831107,0.0781501308857929,3.92776442854863,1,1,1,1,6503.45834993404,35.4655187965931
128,1,274888.317309702,0,15787.3760572221,-1672.6515081728,0,0,-4.58563933329337,-2.51313405311364,0.499575824117121,-0.0428091951235956,-0.0341472003524884,-0.100065137907453,-0.000634387632852225,-0.111119211820918,0.0245774986736222,5.22914245971236,1,1,1,1,6519.66856138477,33.0333268391697
129,1,280306.359557672,0,13882.4659869959,-1672.6515081728,0,0,-4.33855343801104,-2.45584399261032,0.499875256351814,-0.0298008393907174,-0.0344339303083409,-0.100064573775784,0.00235880026921876,-0.180301487518362,-0.0564235053899204,4.98540024978112,1,1,1,1,6482.61791564699,34.3966723733055
130,1,306658.511058218,0,15660.1096096382,-1672.6515081728,0,0,-3.56672269519709,-2.81532546941722,0.499925635482254,-0.0520723336492038,-0.0341735712781557,-0.100075477642406,0.00498684916126153,-0.220920470380599,-0.0560835948005123,4.54395953802225,1,1,1,1,6551.99304039255,37.1913247748493
131,1,300675.79519592,0,14044.7931504043,-1672.6515081728,0,0,-2.09947924360968,-2.83558477284962,0.499459622643633,-0.0256162791573721,-0.0340145835415224,-0.100067948968491,-0.00451296190203275,-0.193849212734533,0.042535785216159,3.5282225125925,1,1,1,1,6489.70234991193,37.2345728960229
132,1,294275.710767194,0,13960.0542093482,-1672.6515081728,0,0,-4.68582073007479,-2.56954238988461,0.499712152730169,-0.0526581925759855,-0.0344981071791494,-0.100073814638111,-0.00330200356036933,-0.223432937800197,0.0155013761012018,5.34410553861098,1,1,1,1,6524.71358664109,35.0721668373484
133,1,289789.083445604,0,16296.3548474508,-1672.6515081728,0,0,-4.11629705097957,-2.55472348979188,0.499235502532907,-0.0256347005092908,-0.034288057938667,-0.100069463543386,-0.00274019353393445,-0.212921895026171,-0.0671998146324003,4.84463760473345,1,1,1,1,6522.18560750293,33.83444679805
